time,ax,ay,az,atotal,Resultante
1.083404064,0.04,0.07,-0.07,0.1,0.058309519
1.110672951,0.01,0.1,-0.03,0.1,0.041231056
1.112066984,-0.01,0.13,-0.05,0.13,0.037416574
1.113342047,0.01,0.12,-0.02,0.12,0.033166248
1.129210949,0,0.09,-0.01,0.09,0.067082039
1.132580996,-0.03,0.03,-0.01,0.04,0.028284271
1.14428997,-0.03,0.01,0.01,0.03,0.037416574
1.152780056,-0.05,-0.02,0.02,0.05,0.03
1.16363287,-0.03,-0.04,0.01,0.05,0.036055513
1.173091888,-0.03,-0.06,-0.02,0.06,0.02
1.182727098,-0.01,-0.06,-0.02,0.06,0.028284271
1.211721897,0.01,-0.06,-0.04,0.07,0.02236068
1.213496208,0.01,-0.07,-0.06,0.09,0.108166538
1.214657068,0.03,0,0.02,0.03,0.037416574
1.222044945,0.05,0.03,0.03,0.06,0.072111026
1.232811928,0.05,-0.01,-0.03,0.05,0.058309519
1.24277401,0.02,-0.04,-0.07,0.08,0.082462113
1.252334118,0.02,-0.06,0.01,0.06,0.085440037
1.262928009,0.02,-0.09,0.09,0.12,0.024494897
1.272700071,0.03,-0.11,0.1,0.15,0.080622577
1.282719135,0.05,-0.16,0.04,0.17,0.033166248
1.309896946,0.04,-0.15,0.01,0.15,0.059160798
1.311522007,0.01,-0.1,0,0.1,0.037416574
1.312737942,-0.01,-0.09,0.03,0.09,0.082462113
1.329022884,-0.03,-0.17,0.03,0.17,0.037416574
1.332009077,0,-0.15,0.02,0.15,0.028284271
1.342280865,0,-0.17,0,0.17,0.037416574
1.351948023,-0.02,-0.14,-0.01,0.14,0.112249722
1.362248898,-0.01,-0.04,0.04,0.05,0.053851648
1.372101068,0.01,0,0.07,0.07,0.041231056
1.381726027,0.03,0.03,0.09,0.09,0.033166248
1.406468868,0.04,0.04,0.06,0.08,0.046904158
1.408176899,0.02,0.01,0.09,0.09,0.045825757
1.411586046,0,-0.03,0.08,0.08,0.075498344
1.428501129,-0.05,-0.07,0.04,0.09,0.067082039
1.431596994,-0.1,-0.11,0.02,0.15,0.037416574
1.444007874,-0.09,-0.14,0.04,0.17,0.076811457
1.451636076,-0.04,-0.11,0.09,0.14,0.06164414
1.462224007,-0.01,-0.06,0.11,0.12,0.064031242
1.472112179,0.03,-0.03,0.07,0.08,0.064807407
1.482696056,0.02,0.01,0.02,0.03,0.087749644
1.511646986,-0.03,0.07,-0.02,0.07,0.078102497
1.513504028,-0.03,0.02,-0.08,0.08,0.060827625
1.514734983,-0.02,-0.04,-0.08,0.09,0.050990195
1.529057026,-0.03,-0.07,-0.04,0.08,0.08660254
1.530963898,-0.02,-0.12,0.03,0.12,0.060827625
1.543049097,-0.01,-0.12,0.09,0.15,0.014142136
1.551416874,0,-0.13,0.09,0.15,0.043588989
1.561666012,0.01,-0.16,0.06,0.17,0.043588989
1.570969105,0.04,-0.13,0.05,0.14,0.033166248
1.581351042,0.01,-0.14,0.04,0.14,0.067082039
1.608994961,-0.01,-0.18,-0.01,0.18,0.11045361
1.610487938,0.08,-0.23,-0.05,0.24,0.157797338
1.61165905,0.15,-0.13,0.05,0.2,0.242280829
1.629204988,-0.06,-0.08,0.16,0.18,0.116619038
1.630792141,0,-0.16,0.22,0.27,0.245967478
1.642914057,0.21,-0.08,0.32,0.39,0.100995049
1.650433064,0.22,-0.09,0.22,0.32,0.243515913
1.661118031,0.13,-0.25,0.06,0.28,0.100498756
1.670701981,0.09,-0.32,0,0.33,0.111803399
1.681387901,0.04,-0.4,-0.06,0.4,0.156524758
1.708201885,0.12,-0.49,0.04,0.5,0.184661853
1.709768057,0.21,-0.51,0.2,0.58,0.064807407
1.711038113,0.25,-0.56,0.19,0.64,0.16673332
1.728824139,0.35,-0.59,0.06,0.68,0.161245155
1.730656147,0.35,-0.51,-0.08,0.62,0.157480157
1.744837046,0.25,-0.53,-0.2,0.61,0.247184142
1.75002408,0.16,-0.76,-0.19,0.79,0.180554701
1.760387897,0.15,-0.93,-0.13,0.95,0.172916165
1.770277023,0.22,-1.08,-0.08,1.1,0.260192237
1.780345917,0.23,-1.34,-0.08,1.36,0.212602916
1.80936408,0.27,-1.54,-0.02,1.56,0.053851648
1.811080933,0.24,-1.58,0,1.59,0.139283883
1.812174082,0.15,-1.65,-0.08,1.65,0.122065556
1.819715023,0.09,-1.73,-0.15,1.73,0.09486833
1.829493999,0.04,-1.72,-0.23,1.73,0.045825757
