time;gFx;gFy;gFz;TgF
0,003041;-0,1004;0,1637;1,0444;1,062
0,003431;-0,0969;0,1860;1,0518;1,073
0,003957;-0,0933;0,1996;1,0463;1,069
0,004352;-0,0974;0,1958;1,0495;1,072
0,016741;-0,1013;0,1844;1,0477;1,069
0,017826;-0,0938;0,1733;1,0444;1,063
0,018247;-0,0835;0,1674;1,0368;1,054
0,018594;-0,0711;0,1656;1,0382;1,054
0,041199;-0,0606;0,1649;1,0434;1,058
0,042560;-0,0536;0,1663;1,0501;1,065
0,042982;-0,0485;0,1664;1,0526;1,067
0,043282;-0,0525;0,1666;1,0509;1,065
0,043602;-0,0600;0,1676;1,0462;1,061
0,043859;-0,0642;0,1692;1,0398;1,055
0,045358;-0,0636;0,1733;1,0366;1,053
0,053041;-0,0658;0,1756;1,0287;1,046
0,055219;-0,0677;0,1755;1,0208;1,038
0,064961;-0,0691;0,1781;1,0154;1,033
0,066033;-0,0696;0,1806;1,0054;1,024
0,066663;-0,0649;0,1816;0,9925;1,011
0,070274;-0,0516;0,1844;0,9704;0,989
0,077167;-0,0442;0,1867;0,9553;0,974
0,077791;-0,0374;0,1859;0,9510;0,970
0,081224;-0,0294;0,1843;0,9539;0,972
0,084941;-0,0264;0,1821;0,9596;0,977
0,089325;-0,0327;0,1803;0,9620;0,979
0,092904;-0,0443;0,1786;0,9557;0,973
0,099673;-0,0526;0,1779;0,9436;0,962
0,101135;-0,0589;0,1782;0,9249;0,944
0,107516;-0,0584;0,1752;0,9133;0,932
0,108928;-0,0596;0,1717;0,9079;0,926
0,114170;-0,0579;0,1673;0,9119;0,929
0,116952;-0,0498;0,1612;0,9092;0,925
0,120706;-0,0334;0,1479;0,9039;0,917
0,124954;-0,0066;0,1197;0,8897;0,898
0,128671;-0,0158;0,1294;0,8880;0,897
0,132947;-0,0352;0,1517;0,8930;0,906
0,139794;-0,0505;0,1674;0,9037;0,920
0,141290;-0,0620;0,1873;0,9354;0,956
0,144571;-0,0679;0,2029;0,9812;1,004
0,148674;-0,0614;0,2071;1,0013;1,024
0,152366;-0,0524;0,1994;1,0005;1,022
0,157514;-0,0387;0,1811;0,9924;1,010
0,160478;-0,0269;0,1501;0,9890;1,001
0,165013;-0,0299;0,1218;0,9934;1,001
0,172518;-0,0341;0,1080;0,9911;0,998
0,173149;-0,0345;0,1092;0,9887;0,995
0,176285;-0,0264;0,1237;0,9939;1,002
0,180211;-0,0026;0,1275;0,9947;1,003
0,184181;-0,0006;0,1217;1,0073;1,015
0,189465;-0,0394;0,1265;1,0265;1,035
0,192345;-0,0739;0,1563;1,0217;1,036
0,196190;-0,0618;0,1892;1,0102;1,030
0,200764;-0,0277;0,2055;1,0059;1,027
0,219766;0,0026;0,2035;0,9980;1,019
0,221216;0,0063;0,1831;0,9887;1,006
0,221674;-0,0008;0,1506;0,9767;0,988
0,222386;-0,0013;0,1269;0,9730;0,981
0,223099;0,0023;0,1177;0,9759;0,983
0,226608;0,0115;0,1183;0,9787;0,986
0,227998;0,0171;0,1305;0,9728;0,982
0,232230;0,0290;0,1442;0,9665;0,978
0,235869;0,0375;0,1562;0,9596;0,973
0,240147;0,0402;0,1623;0,9514;0,966
