time;gFx;gFy;gFz;TgF
0.008920312;-0,0589;1,0210;-0,2134;1,045
0.010224479;-0,0594;1,0165;-0,2097;1,040
0.011151041;-0,0654;1,0107;-0,2058;1,033
0.012054166;-0,0713;1,0051;-0,1961;1,026
0.01315625;-0,0769;0,9999;-0,1848;1,020
0.014152083;-0,0819;0,9966;-0,1728;1,015
0.01508177;-0,0850;0,9954;-0,1617;1,012
0.01598125;-0,0848;0,9959;-0,1542;1,011
0.016930729;-0,0838;0,9959;-0,1477;1,010
0.033882812;-0,0780;0,9973;-0,1429;1,011
0.035079166;-0,0738;0,9964;-0,1385;1,009
0.035901041;-0,0694;0,9976;-0,1353;1,009
0.036714062;-0,0617;0,9972;-0,1332;1,008
0.03756302;-0,0533;0,9985;-0,1346;1,009
0.0413;-0,0491;0,9996;-0,1360;1,010
0.049163541;-0,0430;1,0026;-0,1374;1,013
0.05066302;-0,0351;1,0052;-0,1346;1,015
0.051332812;-0,0253;1,0078;-0,1294;1,016
0.062478645;-0,0210;1,0072;-0,1282;1,016
0.06343802;-0,0184;1,0043;-0,1300;1,013
0.064877604;-0,0172;1,0015;-0,1293;1,010
0.06756875;-0,0141;0,9996;-0,1179;1,007
0.070495833;-0,0112;0,9982;-0,1071;1,004
0.074330729;-0,0135;0,9937;-0,0958;0,998
0.078482812;-0,0223;0,9898;-0,0874;0,994
0.083098958;-0,0363;0,9839;-0,0800;0,988
0.08638125;-0,0460;0,9817;-0,0726;0,985
0.090396875;-0,0512;0,9811;-0,0692;0,985
0.09430625;-0,0561;0,9729;-0,0722;0,977
0.099673958;-0,0545;0,9689;-0,0852;0,974
0.10280625;-0,0479;0,9805;-0,0931;0,986
0.106041145;-0,0258;0,9980;-0,0828;1,002
0.110508333;-0,0143;1,0089;-0,0748;1,012
0.118619791;-0,0066;1,0104;-0,0664;1,013
0.119171354;0,0007;1,0077;-0,0665;1,010
0.122547395;0,0036;1,0053;-0,0821;1,009
0.126696875;-0,0011;0,9987;-0,0928;1,003
0.135845312;-0,0018;0,9963;-0,1015;1,001
0.137692708;-0,0025;0,9961;-0,1123;1,002
0.138938541;-0,0065;0,9987;-0,1128;1,005
0.145205208;-0,0090;0,9992;-0,1123;1,006
0.150430208;-0,0145;0,9980;-0,1094;1,004
0.151302604;-0,0139;0,9970;-0,0977;1,002
0.153875;-0,0185;0,9971;-0,0969;1,002
0.157745312;-0,0238;0,9997;-0,0959;1,005
0.162134895;-0,0270;0,9991;-0,0976;1,004
0.167213541;-0,0298;1,0000;-0,1009;1,006
0.177336979;-0,0328;0,9997;-0,0962;1,005
0.178486458;-0,0333;0,9970;-0,0968;1,002
0.189152083;-0,0322;0,9928;-0,1001;0,998
0.18996875;-0,0344;0,9887;-0,1018;0,994
0.190330729;-0,0360;0,9854;-0,1036;0,992
0.19064375;-0,0376;0,9867;-0,1058;0,993
0.193765625;-0,0347;0,9911;-0,1103;0,998
0.20246927;-0,0330;0,9944;-0,1060;1,001
0.203408333;-0,0313;0,9958;-0,1012;1,001
0.205780729;-0,0340;0,9963;-0,1060;1,002
0.221251562;-0,0393;0,9929;-0,1097;1,000
0.222236458;-0,0423;0,9886;-0,1053;0,995
0.222886979;-0,0498;0,9922;-0,0982;0,998
0.224345833;-0,0515;0,9963;-0,0956;1,002
0.226303125;-0,0523;0,9996;-0,0938;1,005
0.234010937;-0,0551;1,0046;-0,0898;1,010
0.234902083;-0,0656;1,0024;-0,0792;1,008
0.237688541;-0,0697;0,9988;-0,0670;1,003
0.241460937;-0,0749;0,9952;-0,0548;0,999
0.245657291;-0,0783;0,9960;-0,0480;1,000
0.252329687;-0,0796;0,9968;-0,0447;1,001
0.25318125;-0,0762;0,9981;-0,0438;1,002
0.257070312;-0,0705;1,0009;-0,0480;1,005
0.260929166;-0,0646;1,0023;-0,0539;1,006
0.270121354;-0,0618;1,0023;-0,0572;1,006
0.271015104;-0,0605;1,0011;-0,0593;1,005
0.272790104;-0,0647;1,0007;-0,0531;1,004
0.277290625;-0,0677;1,0027;-0,0538;1,006
0.283184895;-0,0687;1,0051;-0,0577;1,009
0.28474427;-0,0731;1,0054;-0,0657;1,010
0.289219791;-0,0747;1,0067;-0,0773;1,012
0.293016145;-0,0745;1,0081;-0,0904;1,015
0.300807812;-0,0698;1,0106;-0,1025;1,018
0.302957291;-0,0634;1,0131;-0,1138;1,021
0.304691145;-0,0576;1,0158;-0,1255;1,025
0.31205;-0,0536;1,0161;-0,1325;1,026
0.321226562;-0,0490;1,0190;-0,1433;1,030
0.32214375;-0,0459;1,0221;-0,1488;1,034
0.32248125;-0,0390;1,0224;-0,1542;1,035
0.32457552;-0,0334;1,0227;-0,1579;1,035
0.329255208;-0,0316;1,0210;-0,1556;1,033
0.338395312;-0,0306;1,0153;-0,1531;1,027
0.339422916;-0,0343;1,0103;-0,1464;1,021
0.340970833;-0,0390;1,0093;-0,1368;1,019
0.354448958;-0,0364;1,0077;-0,1218;1,016
0.355443229;-0,0390;1,0103;-0,1145;1,018
0.355778645;-0,0346;1,0106;-0,1011;1,016
0.356216145;-0,0406;1,0073;-0,0904;1,012
0.36219375;-0,0462;1,0012;-0,0845;1,006
0.373873958;-0,0505;0,9973;-0,0766;1,002
0.375118229;-0,0597;0,9911;-0,0724;0,996
0.375457812;-0,0599;0,9869;-0,0691;0,991
