time;gFx;gFy;gFz;TgF
0,500407;0,0225;0,1135;0,9998;1,007
0,504555;0,0109;0,1049;0,9934;0,999
0,508722;-0,0012;0,0980;0,9931;0,998
0,514093;-0,0108;0,0942;0,9929;0,997
0,516148;-0,0193;0,0958;0,9951;1,000
0,520453;-0,0243;0,0994;0,9991;1,004
0,524889;-0,0262;0,1057;1,0018;1,008
0,528290;-0,0310;0,1142;1,0033;1,010
0,532390;-0,0386;0,1182;1,0029;1,011
0,536755;-0,0469;0,1235;1,0038;1,012
0,541740;-0,0499;0,1252;1,0042;1,013
0,544235;-0,0507;0,1238;1,0034;1,012
0,550753;-0,0551;0,1235;1,0007;1,010
0,552651;-0,0549;0,1214;0,9989;1,008
0,555958;-0,0526;0,1193;0,9974;1,006
0,561480;-0,0495;0,1169;0,9897;0,998
0,564519;-0,0473;0,1134;0,9841;0,992
0,570203;-0,0440;0,1104;0,9762;0,983
0,571772;-0,0377;0,1089;0,9727;0,980
0,576114;-0,0320;0,1077;0,9706;0,977
0,580010;-0,0206;0,1077;0,9737;0,980
0,583897;-0,0077;0,1095;0,9788;0,985
0,587978;0,0040;0,1108;0,9824;0,989
0,591946;0,0114;0,1134;0,9899;0,996
0,596381;0,0139;0,1099;0,9963;1,002
0,600049;0,0157;0,1058;1,0048;1,010
0,604650;0,0144;0,1011;1,0108;1,016
0,608231;0,0099;0,0986;1,0149;1,020
0,612964;0,0005;0,0980;1,0215;1,026
0,615666;-0,0078;0,0988;1,0284;1,033
0,619564;-0,0130;0,1002;1,0334;1,038
0,630466;-0,0181;0,1043;1,0324;1,038
0,631320;-0,0197;0,1069;1,0306;1,036
0,631586;-0,0217;0,1118;1,0271;1,033
0,636141;-0,0161;0,1141;1,0306;1,037
0,639832;-0,0073;0,1103;1,0338;1,040
0,644723;-0,0075;0,1033;1,0199;1,025
0,650233;-0,0124;0,0986;1,0059;1,011
0,651068;-0,0232;0,0974;1,0001;1,005
0,655373;-0,0340;0,1020;1,0022;1,008
0,660040;-0,0369;0,1079;1,0097;1,016
0,663471;-0,0376;0,1124;1,0127;1,020
0,667436;-0,0365;0,1166;1,0181;1,025
0,671169;-0,0369;0,1174;1,0231;1,030
0,675712;-0,0400;0,1176;1,0252;1,033
0,679781;-0,0450;0,1186;1,0275;1,035
0,683248;-0,0497;0,1182;1,0280;1,036
0,687115;-0,0540;0,1182;1,0280;1,036
0,691569;-0,0556;0,1203;1,0290;1,037
0,695548;-0,0539;0,1207;1,0285;1,037
0,700109;-0,0523;0,1232;1,0266;1,035
0,703233;-0,0519;0,1270;1,0276;1,037
0,708311;-0,0517;0,1303;1,0270;1,037
0,710946;-0,0509;0,1328;1,0213;1,031
0,714910;-0,0530;0,1358;1,0209;1,031
0,719303;-0,0523;0,1379;1,0255;1,036
0,724910;-0,0537;0,1386;1,0318;1,042
0,729338;-0,0557;0,1406;1,0356;1,047
0,730485;-0,0565;0,1427;1,0363;1,048
0,735094;-0,0579;0,1435;1,0356;1,047
0,738904;-0,0610;0,1460;1,0337;1,046
0,744139;-0,0643;0,1473;1,0305;1,043
0,746699;-0,0698;0,1491;1,0252;1,038
0,750679;-0,0730;0,1518;1,0212;1,035
0,755905;-0,0772;0,1555;1,0088;1,024
0,762430;-0,0821;0,1604;0,9918;1,008
0,763197;-0,0840;0,1647;0,9817;0,999
0,766931;-0,0868;0,1722;0,9739;0,993
0,770634;-0,0905;0,1783;0,9694;0,990
0,774669;-0,0972;0,1804;0,9664;0,988
0,778710;-0,1000;0,1831;0,9675;0,990
0,782397;-0,0988;0,1843;0,9656;0,988
0,786442;-0,0967;0,1861;0,9629;0,985
0,791516;-0,0954;0,1898;0,9643;0,987
0,794347;-0,0921;0,1930;0,9699;0,993
0,798598;-0,0873;0,1956;0,9803;1,003
0,802308;-0,0780;0,1971;0,9907;1,013
0,808542;-0,0702;0,1953;0,9960;1,017
0,811397;-0,0639;0,1942;0,9989;1,020
0,814805;-0,0588;0,1924;1,0017;1,022
0,818389;-0,0545;0,1891;1,0049;1,024
0,822184;-0,0532;0,1838;1,0069;1,025
0,826419;-0,0523;0,1812;1,0080;1,025
0,830198;-0,0514;0,1784;1,0135;1,030
0,834234;-0,0498;0,1754;1,0168;1,033
0,838048;-0,0500;0,1741;1,0186;1,035
0,842415;-0,0505;0,1709;1,0185;1,034
0,846274;-0,0491;0,1701;1,0171;1,032
0,849832;-0,0481;0,1662;1,0113;1,026
0,854219;-0,0435;0,1612;1,0025;1,016
0,858127;-0,0405;0,1581;0,9983;1,012
0,861966;-0,0372;0,1537;0,9894;1,002
0,865905;-0,0325;0,1501;0,9846;0,997
0,869751;-0,0271;0,1460;0,9808;0,992
0,874887;-0,0247;0,1427;0,9787;0,989
0,877851;-0,0194;0,1385;0,9803;0,990
0,881720;-0,0152;0,1381;0,9699;0,980
0,888051;-0,0116;0,1358;0,9564;0,966
0,889216;-0,0087;0,1297;0,9493;0,958
0,896736;-0,0073;0,1262;0,9474;0,956
0,899831;-0,0083;0,1230;0,9452;0,953
0,901779;-0,0094;0,1192;0,9405;0,948
0,905913;-0,0151;0,1143;0,9395;0,946
0,909694;-0,0205;0,1076;0,9384;0,945
0,913709;-0,0258;0,1027;0,9447;0,951
0,917592;-0,0332;0,1001;0,9507;0,957
