time;gFx;gFy;gFz;TgF
2,240460;-0,1084;0,1035;0,9086;0,921
2,241064;-0,0999;0,1085;0,9042;0,916
2,241418;-0,0884;0,1158;0,9003;0,912
2,241673;-0,0769;0,1194;0,8982;0,909
2,250098;-0,0680;0,1196;0,9020;0,912
2,270273;-0,0576;0,1185;0,9039;0,913
2,271231;-0,0506;0,1170;0,9083;0,917
2,271619;-0,0471;0,1148;0,9180;0,926
2,271946;-0,0439;0,1151;0,9321;0,940
2,272240;-0,0391;0,1142;0,9463;0,954
2,272512;-0,0330;0,1181;0,9566;0,964
2,286991;-0,0277;0,1198;0,9665;0,974
2,287770;-0,0231;0,1207;0,9738;0,982
2,288534;-0,0197;0,1199;0,9787;0,986
2,289355;-0,0147;0,1184;0,9846;0,992
2,289919;-0,0105;0,1181;0,9897;0,997
2,300434;-0,0073;0,1180;0,9905;0,998
2,301276;-0,0064;0,1164;0,9907;0,997
2,322215;-0,0062;0,1135;0,9898;0,996
2,322890;-0,0081;0,1140;0,9914;0,998
2,323131;-0,0053;0,1159;0,9940;1,001
2,323358;-0,0045;0,1188;0,9955;1,003
2,323585;-0,0068;0,1162;0,9969;1,004
2,323794;-0,0090;0,1167;0,9996;1,006
2,346910;-0,0078;0,1176;1,0012;1,008
2,348111;-0,0077;0,1213;1,0003;1,008
2,348472;-0,0050;0,1248;0,9961;1,004
2,349892;-0,0038;0,1276;0,9943;1,002
2,350414;-0,0033;0,1282;0,9888;0,997
2,350805;-0,0017;0,1288;0,9862;0,995
2,351069;0,0029;0,1297;0,9861;0,995
2,358740;0,0054;0,1310;0,9811;0,990
2,360305;0,0083;0,1307;0,9758;0,985
2,361312;0,0105;0,1279;0,9752;0,984
2,366170;0,0104;0,1257;0,9764;0,985
2,372865;0,0106;0,1246;0,9756;0,984
2,374110;0,0111;0,1228;0,9749;0,983
2,378396;0,0102;0,1204;0,9768;0,984
2,382363;0,0116;0,1221;0,9793;0,987
2,390531;0,0098;0,1221;0,9894;0,997
2,391319;0,0078;0,1251;0,9958;1,004
2,396057;0,0111;0,1284;1,0018;1,010
2,396419;0,0110;0,1278;1,0099;1,018
2,413401;0,0056;0,1249;1,0154;1,023
2,413765;-0,0003;0,1211;1,0207;1,028
2,413933;-0,0065;0,1228;1,0262;1,034
2,414062;-0,0091;0,1223;1,0358;1,043
2,433098;-0,0145;0,1225;1,0381;1,045
2,433418;-0,0179;0,1231;1,0399;1,047
2,433602;-0,0203;0,1230;1,0353;1,043
2,433755;-0,0237;0,1210;1,0299;1,037
2,433910;-0,0266;0,1196;1,0251;1,032
2,445805;-0,0276;0,1196;1,0200;1,027
2,446191;-0,0307;0,1205;1,0137;1,021
2,446408;-0,0321;0,1198;1,0021;1,010
2,462584;-0,0365;0,1217;0,9942;1,002
2,464107;-0,0383;0,1218;0,9865;0,995
2,465303;-0,0383;0,1210;0,9862;0,994
2,465910;-0,0357;0,1223;0,9848;0,993
2,466381;-0,0296;0,1210;0,9817;0,990
2,477912;-0,0263;0,1190;0,9802;0,988
2,478573;-0,0220;0,1165;0,9796;0,987
2,479190;-0,0198;0,1135;0,9764;0,983
2,479454;-0,0209;0,1099;0,9755;0,982
2,488624;-0,0221;0,1115;0,9759;0,983
2,489877;-0,0259;0,1118;0,9797;0,986
2,492712;-0,0329;0,1127;0,9802;0,987
2,496396;-0,0384;0,1127;0,9816;0,989
2,502620;-0,0403;0,1127;0,9830;0,990
2,503444;-0,0420;0,1112;0,9794;0,987
2,508321;-0,0430;0,1103;0,9765;0,984
2,512710;-0,0463;0,1095;0,9794;0,987
2,521507;-0,0411;0,1118;0,9803;0,988
2,522155;-0,0356;0,1152;0,9852;0,993
2,524580;-0,0300;0,1197;0,9947;1,002
