time;gFx;gFy;gFz;TgF
0,003183;-0,0273;0,0889;0,9528;0,957
0,003630;-0,0269;0,0854;0,9534;0,958
0,003849;-0,0258;0,0854;0,9570;0,961
0,013930;-0,0278;0,0856;0,9556;0,960
0,014606;-0,0294;0,0850;0,9536;0,958
0,014853;-0,0340;0,0839;0,9568;0,961
0,024702;-0,0361;0,0846;0,9585;0,963
0,025703;-0,0365;0,0878;0,9652;0,970
0,026153;-0,0377;0,0942;0,9740;0,979
0,040778;-0,0400;0,0994;0,9885;0,994
0,041354;-0,0425;0,1038;1,0021;1,008
0,041540;-0,0425;0,1087;1,0146;1,021
0,041711;-0,0446;0,1141;1,0122;1,020
0,055302;-0,0467;0,1163;1,0148;1,023
0,055860;-0,0427;0,1169;1,0256;1,033
0,056034;-0,0377;0,1161;1,0281;1,035
0,056931;-0,0283;0,1152;1,0197;1,027
0,077543;-0,0241;0,1109;1,0052;1,012
0,079290;-0,0239;0,1053;0,9983;1,004
0,082648;-0,0258;0,1006;0,9863;0,992
0,082964;-0,0246;0,0964;0,9760;0,981
0,083190;-0,0204;0,0925;0,9691;0,974
0,096468;-0,0173;0,0905;0,9672;0,972
0,109632;-0,0126;0,0903;0,9631;0,967
0,111834;-0,0078;0,0882;0,9607;0,965
0,112010;-0,0079;0,0853;0,9584;0,962
0,112158;-0,0051;0,0825;0,9546;0,958
0,112294;0,0035;0,0817;0,9525;0,956
0,112423;0,0094;0,0814;0,9538;0,957
0,112557;0,0126;0,0807;0,9534;0,957
0,114472;0,0153;0,0801;0,9540;0,958
0,118720;0,0150;0,0811;0,9522;0,956
0,120331;0,0111;0,0808;0,9560;0,959
0,124538;0,0071;0,0815;0,9599;0,963
0,128485;-0,0021;0,0874;0,9582;0,962
0,132308;-0,0138;0,0886;0,9663;0,970
0,136527;-0,0130;0,0961;0,9789;0,984
0,140260;-0,0010;0,1063;0,9841;0,990
0,146486;0,0105;0,1087;0,9941;1,000
0,148216;0,0104;0,1075;1,0055;1,011
0,154697;0,0071;0,1013;1,0142;1,019
0,157827;0,0071;0,0978;1,0134;1,018
0,162192;0,0077;0,0955;1,0086;1,013
0,164105;0,0040;0,0958;1,0029;1,007
0,168151;0,0031;0,0966;0,9992;1,004
0,172239;-0,0004;0,0989;0,9972;1,002
0,176019;-0,0034;0,1008;0,9917;0,997
0,180279;-0,0089;0,1023;0,9897;0,995
0,184062;-0,0136;0,1048;0,9897;0,995
0,188849;-0,0157;0,1087;0,9881;0,994
0,191694;-0,0195;0,1117;0,9872;0,994
0,198080;-0,0254;0,1120;0,9870;0,994
0,199823;-0,0276;0,1127;0,9866;0,993
0,205499;-0,0268;0,1143;0,9841;0,991
0,226083;-0,0252;0,1177;0,9842;0,992
0,228229;-0,0265;0,1196;0,9860;0,994
0,229068;-0,0284;0,1237;0,9882;0,996
0,229428;-0,0304;0,1218;0,9875;0,995
0,229746;-0,0305;0,1220;0,9863;0,994
0,230083;-0,0314;0,1221;0,9851;0,993
0,233410;-0,0336;0,1209;0,9877;0,996
0,235666;-0,0333;0,1204;0,9863;0,994
0,240729;-0,0321;0,1219;0,9810;0,989
0,247642;-0,0316;0,1219;0,9803;0,988
0,248649;-0,0309;0,1219;0,9809;0,989
0,251777;-0,0302;0,1202;0,9857;0,993
0,255899;-0,0271;0,1194;0,9913;0,999
0,259781;-0,0222;0,1180;0,9910;0,998
0,264064;-0,0207;0,1191;0,9963;1,004
0,271610;-0,0194;0,1174;1,0059;1,013
0,272632;-0,0211;0,1173;1,0098;1,017
0,290026;-0,0217;0,1153;1,0102;1,017
0,290727;-0,0226;0,1126;1,0077;1,014
