time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1,210416;0,3556;-0,3140;0,0463;0,477
1,227360;0,3115;-0,3275;-0,0302;0,453
1,230268;0,4133;-0,3009;-0,2246;0,558
1,240735;0,3399;-0,2340;-0,2328;0,474
1,249305;0,1999;-0,2434;-0,3687;0,485
1,259347;0,1099;-0,1743;-0,4163;0,465
1,269452;-0,0179;-0,1228;-0,3759;0,396
1,279145;-0,0960;-0,1272;-0,3850;0,417
1,288952;-0,1252;-0,0516;-0,4042;0,426
1,299816;-0,0957;-0,0908;-0,3355;0,361
1,309756;-0,1941;-0,1277;-0,2967;0,377
1,322494;-0,4511;-0,0747;-0,0424;0,459
1,346570;-0,5545;-0,0688;0,3487;0,659
1,349090;-0,4236;0,0717;0,4951;0,656
1,350309;-0,1850;-0,0073;0,5538;0,584
1,358466;-0,0434;-0,0609;0,3288;0,337
1,369398;0,0807;-0,0682;0,1239;0,163
1,380377;0,1379;-0,1651;0,0468;0,220
1,388986;0,2923;-0,1730;-0,1383;0,367
1,398751;0,3876;-0,1598;-0,0491;0,422
1,408136;0,3671;-0,2130;0,0790;0,432
1,418219;0,3495;-0,2186;0,0407;0,414
1,429492;0,3046;-0,1173;-0,0953;0,340
1,441779;0,1715;-0,1336;-0,0941;0,237
1,448110;0,1368;-0,0324;-0,0929;0,169
1,457593;0,0923;-0,0200;-0,2387;0,257
1,469989;0,0261;-0,0069;-0,1395;0,142
1,491666;0,0176;-0,0215;-0,2759;0,277
1,497469;0,0273;-0,0841;-0,1871;0,207
1,499368;0,0462;-0,0863;-0,0494;0,110
1,507312;0,0757;-0,1189;-0,1371;0,197
1,517340;0,0063;-0,0918;-0,1564;0,181
1,529531;0,0735;-0,0834;0,0006;0,111
1,537616;0,1125;-0,0943;0,1479;0,208
1,548532;0,0551;-0,0571;-0,0870;0,118
1,557235;0,0575;-0,0780;-0,0769;0,124
1,566754;0,0897;-0,1170;0,0505;0,156
1,578933;0,1422;-0,1062;0,0603;0,187
1,586753;0,0668;-0,1251;0,0014;0,142
1,598144;0,0000;-0,0755;0,0308;0,082
1,606342;0,0115;-0,0753;-0,0672;0,102
1,620144;0,0716;0,0031;0,0701;0,100
1,640271;0,0835;0,0317;-0,1650;0,188
1,642537;0,0253;0,0119;-0,1649;0,167
1,656616;0,0547;0,0335;0,0210;0,067
1,659604;0,1432;-0,0129;0,1186;0,186
1,666220;0,1928;-0,0505;0,1183;0,232
1,679034;0,2031;-0,0893;0,0595;0,230
1,686042;0,1638;-0,0796;0,0693;0,195
1,695896;0,1340;-0,0605;0,0988;0,177
1,706832;0,1436;-0,0520;0,0892;0,177
1,716276;0,1922;-0,0440;0,0502;0,203
1,738501;0,2121;-0,0364;-0,0572;0,223
1,740066;0,1643;-0,0680;-0,0666;0,190
1,747262;0,1369;-0,0694;-0,0467;0,160
1,756108;0,1096;-0,0513;-0,1150;0,167
1,766354;0,1601;-0,0926;-0,2911;0,345
1,780438;0,1787;-0,0640;-0,1341;0,232
1,786150;0,0982;-0,0440;-0,0852;0,137
1,795905;0,1444;-0,0635;-0,1245;0,201
1,805280;0,1311;-0,0532;-0,0267;0,144
1,815019;0,1987;-0,0819;-0,0366;0,218
1,825559;0,1207;-0,1005;-0,0956;0,184
1,834953;0,1908;-0,1289;-0,0173;0,231
1,846313;0,1424;-0,1086;0,0806;0,196
1,855245;0,0945;-0,0599;-0,0761;0,135
1,865487;-0,0408;-0,0900;-0,1544;0,183
1,874911;-0,0091;-0,0403;-0,1250;0,132
1,887560;-0,0072;-0,0096;-0,2625;0,263
1,912542;0,0305;-0,0751;0,0017;0,081
1,914821;0,1053;0,0079;0,2067;0,232
1,915341;0,1329;-0,0483;0,3435;0,371
1,924379;0,1621;0,0593;0,3828;0,420
1,934240;0,0947;-0,0123;0,1970;0,219
1,945479;0,1373;-0,0082;0,1000;0,170
1,954101;0,1411;-0,0438;-0,0361;0,152
1,963578;0,0774;-0,0511;-0,2995;0,314
1,973956;0,0221;-0,0670;-0,3081;0,316
1,983785;0,0536;-0,0518;-0,3171;0,326
1,996004;0,1139;-0,0647;-0,2577;0,289
2,003853;0,0749;-0,0758;-0,1986;0,225
2,019295;0,1615;-0,0075;-0,2378;0,288
2,024511;0,1592;-0,0067;-0,1106;0,194
2,046299;0,1873;-0,0048;-0,1894;0,266
2,047918;0,2262;-0,0225;-0,2093;0,309
2,053750;0,1681;-0,0383;-0,1021;0,200
2,063089;0,1507;-0,0643;-0,0830;0,184
2,073245;0,1638;-0,0618;-0,2206;0,282
2,082996;0,1775;-0,0988;-0,2797;0,346
2,094626;0,0822;-0,0864;-0,2702;0,295
2,103686;0,1518;-0,0046;-0,2511;0,293
2,113705;0,1024;-0,0411;-0,3693;0,385
2,122857;0,1498;0,0128;-0,3701;0,399
2,132742;0,1778;-0,0390;-0,2341;0,297
2,146993;0,2247;-0,0880;-0,0789;0,254
2,152559;0,1833;-0,1496;-0,1782;0,296
2,169638;0,2196;-0,1722;-0,1401;0,312
2,172445;0,2074;-0,1475;-0,0822;0,267
2,192506;0,1485;-0,1929;-0,1024;0,264
2,194487;0,0613;-0,2211;-0,3183;0,392
2,203495;0,0335;-0,2022;-0,4947;0,535
2,212083;0,0238;-0,2726;-0,7003;0,752
2,222470;0,0514;-0,2660;-1,0235;1,059
2,232231;-0,0585;-0,3265;-1,0920;1,141
2,243673;-0,1194;-0,3663;-1,1508;1,214
2,251781;-0,0046;-0,4062;-1,2194;1,285
2,262449;-0,0936;-0,4956;-1,4644;1,549
2,272300;-0,1707;-0,5658;-1,5916;1,698
2,281650;-0,0798;-0,6556;-1,8462;1,961
2,303944;-0,2323;-0,8143;-2,1204;2,283
2,307193;-0,1885;-0,8853;-2,4925;2,652
2,327626;-0,2155;-1,0056;-2,8646;3,044
2,330422;-0,0677;-1,0174;-2,9525;3,124
2,332838;0,0693;-1,0002;-2,9423;3,108
2,344155;0,0886;-1,0566;-3,2353;3,405
2,354667;0,0688;-1,0866;-3,6651;3,823
2,362006;0,1366;-1,1714;-3,9370;4,110
2,370876;0,1963;-1,2489;-3,9730;4,169
2,381205;0,1613;-1,2977;-4,1443;4,346
2,393829;0,1764;-1,2688;-4,9038;5,068
2,400593;0,1898;-1,2730;-5,6430;5,788
2,410946;0,2483;-1,2711;-5,9028;6,043
2,421914;0,3816;-1,0880;-5,9691;6,079
2,430376;0,5341;-1,0707;-6,4690;6,579
2,440461;0,5386;-1,0220;-6,6769;6,776
2,457648;0,5310;-1,0841;-6,1818;6,299
2,460984;0,4563;-1,1885;-5,5701;5,714
2,470278;0,5700;-1,2659;-4,8435;5,039
2,482365;0,6304;-1,2102;-4,2040;4,420
2,490049;0,5715;-1,0891;-3,9770;4,163
2,503973;0,6404;-0,9685;-3,8390;4,011
2,510737;0,4678;-0,8670;-3,7692;3,896
2,519580;0,1538;-0,6945;-3,1600;3,239
2,529881;0,0024;-0,5639;-2,5725;2,634
2,541033;0,0510;-0,3969;-2,2905;2,325
2,549471;0,0724;-0,4789;-2,2123;2,265
2,562820;0,2254;-0,4000;-1,8712;1,927
2,574472;0,3964;-0,3280;-1,4196;1,510
2,580446;0,3484;-0,3535;-0,7826;0,927
2,589339;0,6171;-0,2742;-0,1327;0,688
2,604968;0,4775;-0,2223;0,2531;0,584
2,627601;0,3928;-0,0441;0,0622;0,400
2,629231;0,3139;0,2243;-0,5981;0,712
2,629602;0,1083;0,1600;-0,7775;0,801
2,638484;0,0385;0,2102;-0,6133;0,649
2,650090;0,1456;0,2282;-0,4487;0,524
2,660536;0,1767;0,0750;0,0990;0,216
2,671807;0,1896;0,0430;0,4518;0,492
2,678565;-0,1612;-0,2131;0,6388;0,692
2,689801;-0,2773;-0,3096;0,8565;0,952
2,698648;-0,1963;-0,4224;1,5745;1,642
2,720077;-0,2507;-0,5511;2,4109;2,486
2,721517;-0,5489;-0,6899;3,2876;3,404
2,738587;-0,5179;-0,6865;4,3132;4,398
2,739808;-0,5361;-0,8503;4,7985;4,903
2,749935;-0,3320;-0,9709;4,8137;4,922
2,763934;-0,3673;-1,0772;4,9192;5,049
2,768047;-0,3691;-1,1329;4,7103;4,859
2,778079;-0,4520;-1,2148;4,8369;5,008
2,787830;-0,7529;-1,5630;4,1970;4,541
2,797573;-1,1406;-1,5204;3,7825;4,233
2,809324;-1,3450;-1,3076;3,3473;3,837
2,818268;-1,2735;-0,9657;3,0688;3,460
2,827797;-0,7776;-0,6396;3,4462;3,590
2,838829;0,1272;-0,3996;3,7838;3,807
2,847273;0,7625;-0,2686;3,7785;3,864
2,864707;0,9797;-0,1827;2,9496;3,113
2,867676;0,6509;-0,1616;2,3267;2,421
2,888457;0,3578;0,0796;2,1656;2,196
2,891517;-0,1033;0,0803;2,5772;2,581
2,897823;0,1487;-0,4428;4,0001;4,027
2,909747;-0,3843;-0,3217;4,7754;4,802
2,918479;-0,7577;-0,4844;3,9984;4,098
2,928831;-0,6241;-0,4532;3,4059;3,492
2,944005;-0,3444;-0,8778;2,6267;2,791
2,947715;-0,1291;-0,9924;1,6822;1,957
2,958590;-0,0922;-1,0414;1,2388;1,621
2,969221;-0,0965;-1,0149;1,4180;1,746
2,977394;0,3091;-0,7418;2,4860;2,613
2,987327;0,9017;-0,2377;3,4676;3,591
2,995966;1,2624;0,2414;4,1575;4,352
3,013733;1,4102;0,6786;5,1794;5,411
3,016968;1,2583;0,6464;5,4504;5,631
3,025704;1,2565;0,4758;5,4991;5,661
3,037222;1,0584;0,1133;5,8932;5,989
3,045632;0,8988;-0,0094;6,1045;6,170
3,057664;0,6200;-0,1235;5,4403;5,477
3,065586;0,2652;0,1400;4,1218;4,133
3,076842;-0,3250;0,5002;3,9865;4,031
3,086253;-0,6444;0,8789;4,8899;5,010
3,095258;-0,5733;0,7987;5,1439;5,237
3,105930;-0,3110;0,6715;5,6113;5,660
3,115257;-0,1175;0,9032;5,8327;5,903
3,131162;-0,4055;0,8633;6,9645;7,030
3,138861;-0,7576;0,9193;7,4560;7,551
3,153568;-1,2206;0,9064;7,7587;7,906
3,156857;-1,7030;1,5278;8,4629;8,767
3,170849;-1,9573;1,8056;10,2755;10,615
3,190337;-1,2492;2,2472;12,7865;13,042
3,191406;-0,7968;2,4104;16,2039;16,402
3,206950;-0,6799;2,5695;19,1699;19,353
3,209795;-1,6603;2,3205;20,8010;20,996
3,219136;-2,2348;1,2244;21,3188;21,471
3,227504;-2,6231;-0,3920;23,7795;23,927
3,235024;-1,9543;-2,4871;25,9526;26,145
3,244028;-1,6222;-5,1185;25,7336;26,288
3,254158;-1,9657;-6,2331;24,6586;25,510
3,264555;-1,8377;-5,9455;20,1989;21,136
3,279057;-1,2613;-7,0346;11,9008;13,882
3,284947;-0,0773;-8,5952;3,9586;9,463
3,299041;2,2481;-10,4293;-3,8177;11,331
3,304730;4,6621;-11,3023;-11,0411;16,474
3,313784;6,6352;-9,4733;-18,7943;22,068
3,325159;7,1509;-9,0936;-26,4754;28,892
3,333898;3,0400;-7,5337;-27,1314;28,322
3,343415;-1,2183;-5,8016;-18,0513;19,000
3,353599;-5,1161;-6,0466;-3,0765;8,497
3,363364;-7,3764;-3,8906;17,5246;19,408
3,374232;-7,6364;-3,4934;34,1495;35,167
3,384139;-0,0447;-4,2395;36,5196;36,765
3,393227;6,7220;-0,7260;23,5888;24,539
3,403357;8,2522;5,0723;6,2353;11,520
3,413772;7,0953;8,7083;-4,3213;12,035
3,430860;6,9367;9,4835;-7,5347;13,958
3,433209;5,4986;7,9416;-9,2618;13,382
3,460181;1,8561;5,7201;-12,8039;14,146
3,463333;-4,8828;0,6707;-12,6077;13,537
3,464812;-5,9551;-6,4046;-10,4304;13,612
3,472636;-2,5607;-8,8287;-10,5440;13,989
3,482625;-2,2983;-9,8103;-12,1762;15,805
3,492835;0,9233;-10,6823;-16,7549;19,892
3,503145;2,1833;-9,3075;-20,3940;22,524
3,512415;-1,6719;-6,5663;-23,0155;23,992
3,526588;-2,9812;-6,2834;-27,8984;28,752
3,533149;-1,3731;-5,5162;-28,8574;29,412
3,542201;-1,1938;-3,4679;-25,3269;25,591
3,553195;-2,0357;-2,4470;-22,4935;22,718
3,561901;-1,1353;-0,7739;-21,7277;21,771
3,572011;0,2788;0,3891;-20,0955;20,101
3,587804;2,3797;1,4129;-16,7519;16,979
3,593024;2,8865;1,7291;-13,6288;14,038
3,601807;2,3444;1,2495;-11,5913;11,892
3,620122;1,9788;0,6553;-10,4445;10,650
3,621773;0,5577;0,7541;-8,3289;8,382
3,631363;-2,1415;0,6728;-6,1932;6,587
3,642325;-4,2380;0,4548;-5,0687;6,623
3,651589;-3,8170;0,7144;-7,5121;8,456
3,661235;-3,0022;0,8995;-9,0572;9,584
3,675047;-1,2585;1,0169;-8,4679;8,621
3,681198;0,2762;0,8673;-6,5465;6,609
3,691708;1,5753;0,6050;-5,3105;5,572
