time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
5,246508;-0,1099;0,0486;-0,9027;0,911
5,250801;-0,2803;0,0049;-0,5781;0,642
5,265846;-0,2977;-0,0452;-0,4015;0,502
5,279774;-0,2385;-0,1320;-0,3434;0,438
5,282853;-0,1391;-0,2066;-0,5800;0,631
5,294442;-0,1405;-0,2866;-0,3080;0,444
5,299496;-0,2323;-0,2935;0,0511;0,378
5,309759;-0,2137;-0,3507;0,1753;0,447
5,319456;-0,2042;-0,3397;0,1231;0,415
5,328702;-0,1435;-0,3436;0,0135;0,373
5,339209;-0,0840;-0,3394;-0,2329;0,420
5,348730;0,0444;-0,3072;-0,4496;0,546
5,359422;0,0345;-0,3134;-0,5783;0,659
5,380421;0,0436;-0,2989;-0,6385;0,706
5,382502;0,0928;-0,2438;-0,6795;0,728
5,401767;0,0725;-0,2833;-0,6527;0,715
5,404291;0,1615;-0,2141;-0,8713;0,912
5,408387;0,1906;-0,2512;-0,8843;0,939
5,420607;0,1521;-0,2962;-0,7016;0,777
5,428252;0,1216;-0,2274;-0,7949;0,836
5,438706;-0,0253;-0,2559;-0,8589;0,897
5,449451;-0,0735;-0,2728;-0,7272;0,780
5,457842;-0,0633;-0,3025;-0,5970;0,672
5,472136;-0,3095;-0,3929;-0,3607;0,617
5,477821;-0,3191;-0,3393;-0,0745;0,472
5,487778;-0,2614;-0,3283;0,3182;0,527
5,497607;-0,2806;-0,3274;0,4660;0,635
5,507941;-0,2780;-0,2692;0,5556;0,677
5,530762;-0,1282;-0,2188;0,6645;0,711
5,532496;0,0332;-0,1355;0,8240;0,836
5,552582;0,0594;-0,1183;0,8086;0,819
5,554856;0,0658;0,0339;0,7152;0,719
5,558204;0,0705;0,1145;0,4656;0,485
5,567106;0,0640;0,1295;0,3841;0,410
5,577234;0,1928;0,1450;0,3810;0,451
5,589517;0,2903;0,0823;0,4661;0,555
5,597813;0,3108;0,1146;0,5421;0,635
5,606849;0,2534;0,1345;0,5009;0,577
5,617193;0,1789;0,0819;0,2839;0,345
5,626877;0,0659;0,0004;0,4199;0,425
5,637823;0,1422;-0,0141;0,4582;0,480
5,646526;0,2106;-0,1199;0,1832;0,304
5,656442;0,1531;-0,1493;-0,1207;0,246
5,666268;0,1248;-0,1194;-0,2777;0,327
5,682018;0,1336;-0,1749;-0,3078;0,378
5,702843;0,2076;-0,1681;-0,1522;0,307
5,705028;0,1813;-0,1971;0,1204;0,294
5,707985;0,2321;-0,2624;0,3435;0,491
5,716341;0,3821;-0,2321;0,4690;0,648
5,730341;0,3163;-0,2029;0,5064;0,631
5,737861;0,2593;-0,1840;0,6127;0,690
5,745992;0,3335;-0,1402;0,5824;0,686
5,756346;0,2718;-0,2368;0,4841;0,604
5,765630;0,1443;-0,2287;0,4059;0,488
5,775723;0,1565;-0,1947;0,0440;0,254
5,797085;0,2567;-0,2012;-0,0920;0,339
5,798830;0,1300;-0,1384;-0,3066;0,361
5,820811;0,0597;-0,1031;-0,4334;0,449
5,822662;0,1048;-0,1225;-0,3255;0,363
5,825601;0,1871;-0,1577;-0,0615;0,252
5,837245;0,2795;-0,1731;0,0946;0,342
5,846005;0,2468;-0,1505;0,1529;0,327
5,857051;0,1377;-0,1697;-0,0825;0,234
5,865437;0,0484;-0,1505;-0,2393;0,287
5,874956;0,0173;-0,1299;-0,1904;0,231
5,887595;0,0449;-0,1468;-0,0536;0,163
5,896595;0,0240;-0,1429;0,0632;0,158
5,906112;-0,0443;-0,1877;0,1213;0,228
5,915382;-0,0728;-0,2032;0,1990;0,294
5,925323;-0,0531;-0,2003;0,1985;0,287
5,946746;-0,0446;-0,2566;0,1882;0,321
5,949046;-0,0271;-0,2259;0,2076;0,308
5,974974;-0,0499;-0,1762;0,1879;0,262
5,976326;-0,0330;-0,1272;0,2369;0,271
5,977231;-0,0845;-0,1578;0,2078;0,274
5,984741;-0,0468;-0,1994;0,1690;0,266
5,994775;0,1681;-0,1541;0,1402;0,268
6,004235;0,0896;-0,2077;0,1117;0,252
6,013949;0,0412;-0,1544;0,0048;0,160
6,023784;0,1109;-0,1429;-0,0917;0,203
6,034546;0,2006;-0,1896;-0,1884;0,334
6,043800;0,2025;-0,2163;-0,2949;0,418
6,053463;0,1843;-0,2120;-0,5391;0,608
6,063091;0,0565;-0,2538;-0,3033;0,399
6,075275;0,1325;-0,2827;-0,1366;0,341
6,083770;0,2479;-0,3015;-0,0583;0,395
6,096852;0,1966;-0,3104;0,0787;0,376
6,119253;0,0777;-0,3397;0,2356;0,421
6,120612;0,2053;-0,2925;0,2850;0,457
6,122918;0,2157;-0,3150;0,1973;0,430
6,132695;0,0791;-0,3000;0,0510;0,314
6,142979;0,0605;-0,1865;0,0028;0,196
6,153751;0,1213;-0,1994;0,2093;0,313
6,163764;0,2211;-0,2310;0,6118;0,690
6,172576;0,2410;-0,2936;0,7596;0,849
6,183629;0,0632;-0,2840;0,5556;0,627
6,192485;-0,0412;-0,1911;0,5094;0,546
6,203399;-0,0117;-0,1192;0,3754;0,394
6,212284;-0,0069;-0,0121;0,3108;0,311
6,222447;0,4055;0,2113;-0,1847;0,493
6,233080;-0,1318;0,0281;-0,4265;0,447
6,247232;-0,1213;-0,1583;0,2324;0,306
6,269602;-0,0462;0,0179;-0,0596;0,078
6,270845;-0,2462;-0,2564;-0,2047;0,410
6,272191;0,0823;-0,4130;0,2187;0,475
6,281712;0,3329;-0,8773;-0,1219;0,946
6,291704;-0,0323;-0,7892;-0,1965;0,814
6,304273;0,2000;-0,9087;-0,4766;1,045
6,314257;0,4402;-0,7458;-0,6287;1,070
6,324166;0,5372;-0,6643;-0,6840;1,094
6,331549;0,0079;-0,5080;-0,1228;0,523
6,341443;-0,0595;-0,1994;0,6039;0,639
6,360594;0,0543;-0,0493;0,6152;0,620
6,362261;-0,2442;0,0796;2,0782;2,094
6,381223;0,1057;0,2426;1,0928;1,124
6,383072;0,2891;0,3355;0,8532;0,961
6,394281;0,2493;0,2118;0,5179;0,613
6,405817;0,4417;0,1173;-0,0916;0,466
6,410784;0,6238;-0,1695;-0,5154;0,827
6,420733;0,7671;-0,5551;-0,7328;1,197
6,430622;1,0552;-0,6509;-0,9610;1,569
6,441087;1,0121;-0,8410;-0,9741;1,637
6,453051;0,8622;-0,8159;-0,9992;1,552
6,460453;0,3566;-0,7208;-0,9948;1,279
6,472274;-0,0992;-0,4056;-0,5209;0,668
6,481293;-0,4931;-0,1378;-0,4104;0,656
6,490217;-0,5733;0,0723;-0,4378;0,725
6,511069;-0,5483;0,1972;-0,3286;0,669
6,513235;-0,5269;0,0913;-0,2110;0,575
6,534695;-0,3637;-0,0514;-0,0156;0,368
6,536796;-0,0852;-0,1412;0,3942;0,427
6,539898;0,0844;-0,2208;0,6472;0,689
6,552842;0,1472;-0,2639;0,5380;0,617
6,559659;0,2105;-0,2525;0,4496;0,557
6,570294;0,3288;-0,2346;0,3426;0,530
6,579529;0,3043;-0,3475;-0,0771;0,468
6,589501;0,2146;-0,2839;-0,0554;0,360
6,599795;0,1136;-0,2574;-0,0832;0,293
6,609398;0,0186;-0,2097;-0,1117;0,238
6,620611;0,1044;-0,0615;0,0649;0,137
6,629971;-0,0286;-0,1471;-0,0532;0,159
6,641801;0,0496;-0,1738;-0,0931;0,203
6,649353;0,1939;-0,2102;0,0923;0,301
6,662722;0,3488;-0,2861;0,0719;0,457
6,687553;0,4176;-0,3336;0,0716;0,539
6,689701;0,3995;-0,3719;-0,0658;0,550
6,690224;0,2934;-0,3024;-0,1149;0,437
6,702961;0,1775;-0,3007;-0,1446;0,378
6,709279;0,1689;-0,2491;-0,2237;0,375
6,719319;0,1891;-0,2065;-0,3323;0,435
6,728426;0,1020;-0,2692;-0,2161;0,360
6,738312;0,0447;-0,2515;-0,1198;0,282
6,749837;-0,0034;-0,2217;0,0051;0,222
6,759620;0,0057;-0,2134;0,0521;0,220
6,777120;0,1031;-0,2633;0,1382;0,315
6,779201;0,1525;-0,2741;0,2832;0,423
6,798569;0,1736;-0,2945;0,6537;0,738
6,804110;0,3133;-0,2602;0,5546;0,688
6,810168;0,3176;-0,3477;0,2409;0,529
6,821502;0,1853;-0,2788;0,1234;0,357
6,828082;0,0600;-0,2577;0,1722;0,316
6,837656;0,0883;-0,1877;0,2110;0,296
6,847462;0,1158;-0,1479;0,2697;0,329
6,858720;0,1247;-0,1097;0,1816;0,246
6,870108;0,1158;-0,1607;0,0546;0,205
6,877542;0,1662;-0,1632;0,1631;0,284
6,887153;0,2364;-0,1955;0,1345;0,335
6,897379;0,2884;-0,2394;0,0181;0,375
6,907085;0,3301;-0,2531;0,1172;0,432
6,929808;0,4418;-0,2479;0,3343;0,607
6,931235;0,4485;-0,2834;0,3558;0,639
6,950832;0,4402;-0,2432;0,2016;0,542
6,952836;0,4172;-0,2849;0,0290;0,506
6,956759;0,3545;-0,2668;0,0229;0,444
6,970169;0,1946;-0,2282;0,0363;0,302
6,976593;0,1218;-0,1788;0,0691;0,227
6,987415;0,2309;-0,2209;0,0245;0,320
6,998474;0,2219;-0,2419;-0,0791;0,338
7,005987;0,1483;-0,3324;-0,1038;0,378
7,018705;0,0927;-0,2849;-0,1287;0,326
7,026998;-0,0619;-0,2568;-0,2909;0,393
7,038149;0,0793;-0,2246;-0,8569;0,889
7,049581;-0,2805;-0,0987;-1,8263;1,850
7,062106;-0,6690;-0,0920;0,0722;0,679
7,083668;-0,4460;-0,1716;0,6157;0,779
7,085709;-0,2999;-0,1797;1,1310;1,184
7,088504;0,0719;-0,0892;0,7269;0,736
7,095737;0,2488;0,0062;0,4417;0,507
7,106201;0,1586;-0,1722;0,3433;0,416
7,119974;0,2686;-0,2132;0,0588;0,348
7,129777;0,4195;-0,2826;-0,0590;0,509
